_5_digit_ntd_id,_4_digit_ntd_id,agency,reporter_type,organization_type,agency_voms,mode,type_of_service,primary_uza_code,primary_uza_name,primary_uza_area_sq_miles,primary_uza_population,service_area_sq_miles,service_area_population,year,vehicles_operated_at_maximum_service_voms,vehicles_available_for_maximum_service_vams,rail_y_n,fixed_route_y_n,time_period,time_service_begins,time_service_ends,vehicles_passenger_cars_in_operation,actual_vehicles_passenger_car_miles,actual_vehicles_passenger_car_revenue_miles,actual_vehicles_passenger_deadhead_miles,actual_vehicles_passenger_car_hours,actual_vehicles_passenger_car_revenue_hours,actual_vehicles_passenger_car_deadhead_hours,unlinked_passenger_trips_upt,passenger_miles,days_of_service_operated,vehicles_passenger_cars_operated_in_maximum_service,vehicles_passenger_cars_available_for_maximum_service,ada_upt,scheduled_vehicles_passenger_car_revenue_miles,charter_service_hours,school_bus_hours,days_not_operated_due_to_strikes,sponsored_service_upt,trains_in_operation,train_miles,train_revenue_miles,train_deadhead_miles,train_hours,train_revenue_hours,train_deadhead_hours
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,DR,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,3,4,N,N,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,DR,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,3,4,N,N,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,DR,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,3,4,N,N,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,DR,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,3,4,N,N,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,DR,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,3,4,N,N,Average Typical Weekday,5:00:00,22:30:00,3,205,197,8,34,33,1,449,193,261,,,,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,DR,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,3,4,N,N,Average Typical Saturday,6:30:00,22:30:00,2,84,80,4,33,31,2,215,71,52,,,,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,DR,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,3,4,N,N,Average Typical Sunday,6:30:00,22:30:00,2,84,79,5,19,19,0,214,64,52,,,,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,DR,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,3,4,N,N,Annual Total,,,,66546,61323,5223,11578,10896,682,30958,76209,,3,4,22806,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,MB,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,5,11,N,Y,Average Weekday - AM Peak,6:00:00,9:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,MB,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,5,11,N,Y,Average Weekday - Midday,9:00:00,16:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,MB,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,5,11,N,Y,Average Weekday - PM Peak,16:30:00,19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,MB,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,5,11,N,Y,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,MB,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,5,11,N,Y,Average Typical Weekday,5:00:00,22:30:00,5,1075,935,140,98,93,5,1331,3075,261,,,,940,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,MB,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,5,11,N,Y,Average Typical Saturday,6:30:00,4:00:00,4,617,590,27,75,73,2,612,1320,52,,,,600,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,MB,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,5,11,N,Y,Average Typical Sunday,6:30:00,22:30:00,4,400,390,10,64,62,2,339,1317,52,,,,395,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",8,MB,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,35000,2014,5,11,N,Y,Annual Total,,,,340107,314595,25512,32806,24857,7949,392023,935870,,5,11,,306310,,,,,,,,,,,
20006,20006,City of Long Beach,Full Reporter,"City, County or Local Government Unit or Department of Transportation",9,DR,DO,1,"New York-Newark, NY-NJ-CT",3450,18351295,13,33275,2015,3,4,N,N,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,
